Data Series,2026 May ,2026 Apr ,2026 Mar ,2026 Feb ,2026 Jan ,2025 Dec ,2025 Nov ,2025 Oct ,2025 Sep ,2025 Aug ,2025 Jul ,2025 Jun ,2025 May 
"    General, Vocational & Higher Education",-2.3,-2.4,-2.2,-2.2,-2,0.6,0.6,0.6,0.5,0.3,0.1,-0.1,-0.1
      Primary Education,-13.2,-13.2,-13.2,-13.2,-13.2,0,0,0,0,0,0,0,0
      Secondary Education,-7.5,-7.5,-7.5,-7.5,-7.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
      Post-Secondary (Non-Tertiary) Education,-7.8,-7.8,-7.8,-7.8,-7.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
      Polytechnic Education,1.1,1.1,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
      Other Education,-0.5,-0.5,-0.6,-0.5,-0.3,0.4,0.4,0.5,0.3,0,-0.2,-0.5,-0.5
    Private Tuition & Other Educational Courses,2.3,2.3,2.3,2.3,2.4,2.5,2.3,2.1,2,2,2,1.6,1.7
    School Textbooks & Study Guides,1.6,1.6,1.2,1.2,1.2,0.1,0.1,0.1,0.7,0.7,0.7,0.9,0.9
  Miscellaneous Goods & Services,2.4,1.7,1.5,0.5,0.3,0.1,0.2,0.3,-0.1,-0.8,-0.4,0,-0.4
    Personal Care,2.6,0.9,0.2,0.1,0.5,0.4,-0.1,0.5,0.4,-0.8,0,-0.1,-1
      Hairdressing & Personal Grooming Services,1.6,1.4,1.2,2.4,0.1,1.5,1.1,1.1,1,1,0.7,1.2,1.2
      Electric Appliances For Personal Care,-7.9,-9.5,-9.7,-10.3,-6.9,-5.4,-9,-17.3,-8.7,-4.5,-2.3,-6.4,-1.5
"      Other Appliances, Articles & Products For Personal Care",4,0.8,-0.2,-1.5,1.1,-0.4,-0.9,0.7,0.3,-2.1,-0.6,-1.1,-2.9
    Alcoholic Beverages & Tobacco,8.6,8.6,9.7,4.3,2.2,2,0.7,0.8,3.1,2,1.2,1.1,1.8
      Alcoholic Beverages,-0.2,-0.1,1.2,0.8,1.2,0.7,-2.4,-2.2,3.5,0.9,-1.2,-1.6,0.3
      Tobacco,14.2,14.2,15.2,6.6,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
    Other Personal Effects,1.8,2.6,2,0.9,-0.2,-0.8,2.6,1,-2.1,-1.9,-2.2,-3.2,-4
      Jewellery & Watches,1.9,2,1.9,-0.3,-0.8,1.4,7.2,4.6,-0.4,4.8,1.3,0.4,0.3
      Devotional Articles & Articles For Religious & Ritual Celebrations,-1,-1.7,-1.7,-1.2,-1.2,-1.7,-1.7,-1.7,-1.7,-2.9,-2.9,-2.9,-0.8
      Other Personal Effects Nec,2.3,3.5,2.7,1.7,0.3,-1.5,1.8,0.3,-2.8,-3.9,-3.2,-4.5,-6
